Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
Diukes,55.056,18.741,26.308,2,3.612,0,55.056,0
PoolNoodle,53.6,12.685,29.699,4,4.418,0,53.6,0
Miki_Hoshii,50,12.849,31.313,6,4.481,0,50,0
FaLiLV,44.681,11.543,29.616,3,4.286,0,44.681,0
Rissa,41.573,11.363,29.363,1,4.081,0,41.573,0
JuliAless64,41.346,8.171,33.843,1,4.791,0,41.346,0
BlackCondor,37.6,9.752,30.418,3,4.298,0,37.6,0
doomchicken,34.783,9.474,29.83,3,4.175,0,34.783,0
kabigon,29.907,5.856,33.91,0,4.906,0,29.907,0
cafezinho,28.696,5.559,32.822,1,4.848,0,28.696,0
Progenitor,27.885,4.924,35.173,0,5.103,0,27.885,0
Dry,27.885,10.476,27.998,7,3.966,0,27.885,0
hmsuis,25.532,4.476,34.595,1,5.042,0,25.532,0
Jakemonkey,25.234,3.469,40.424,0,5.444,0,25.234,0
Baikinman,24.348,4.209,32.026,0,4.964,0,24.348,0
SaikiChan,21.277,5.036,29.471,1,4.4,0,21.277,0
oh95,20.225,3.249,32.136,1,5.278,0,20.225,0
Janoxx,18.692,2.943,36.394,0,5.55,0,18.692,0
fiftypercentweeb,16.8,1.499,43.535,0,5.905,0,16.8,0
OnlyWorldDaiStar,14.607,3.055,35.713,0,5.077,0,14.607,0
,,,,,,,,
2025-06-17,,,,,,,,
Sniparook,64.789,19.834,27.674,7,4.239,0,64.789,0
AKl,64.062,21.372,26,6,4.037,0,64.062,0
badatlife,56.098,15.216,26.935,2,4.362,0,56.098,0
Diukes,50.427,17.774,27.942,8,3.949,0,50.427,0
remake,47.863,15.167,32.156,2,4.107,0,47.863,0
HistoriaReiss,47.183,12.019,29.299,5,4.672,0,47.183,0
PoolNoodle,46.341,11.154,29.237,2,4.632,0,46.341,0
Orfey,34.188,9.383,30.655,2,4.425,0,34.188,0
SAVAGEGENIUS,33.594,5.896,34.828,1,5.279,0,33.594,0
BlackCondor,30.081,9.901,26.581,4,4.162,0,30.081,0
florenz,28.205,6.411,40.443,0,4.848,0,28.205,0
Dry,28.169,8.46,31.097,6,4.65,0,28.169,0
Akaze,28.125,6.233,31.056,1,4.972,0,28.125,0
Progenitor,27.465,4.824,33.582,1,5.359,0,27.465,0
AnotherWish,27.344,5.352,35.849,1,5.257,0,27.344,0
SaikiChan,21.951,3.694,32.239,0,5.259,0,21.951,0
,,,,,,,,
2025-06-21,,,,,,,,
YuriMeguri,59.286,16.848,27.336,5,4.024,0,59.286,0
badatlife,56.849,19.128,27.021,12,3.699,0,56.849,0
PoolNoodle,51.034,14.729,28.787,8,4.027,0,51.034,0
Diukes,46.897,13.47,26.132,6,4.059,0,46.897,0
kkura_,43.704,11.981,27.922,3,4.102,0,43.704,0
Akaze,38.356,7.642,31.653,2,4.732,0,38.356,0
moosepi,34.286,8.194,32.881,2,4.542,0,34.286,0
JuliAless64,33.333,6.626,30.94,1,4.711,0,33.333,0
cafezinho,31.507,6.866,33.094,3,4.652,0,31.507,0
oh95,29.286,6.028,32.028,4,5,0,29.286,0
provenance,25.517,6.539,31.172,4,4.514,0,25.517,0
Ephemeral,25,3.861,32.342,0,5.343,0,25,0
_nadeshiko,24.658,5.831,31.397,2,4.444,0,24.658,0
Baikinman,20.741,3.422,33.93,1,5.25,0,20.741,0
ruuka,17.778,2.327,35.198,0,5.542,0,17.778,0
sunshine_r_w_p,13.103,1.223,37.914,0,5.842,0,13.103,0
,,,,,,,,
2025-06-24,,,,,,,,
poyoyoyoyo,83.478,29.33,26.2,13,3.604,0,83.478,0
Eryth,82.114,30.451,27.446,10,3.337,0,82.114,0
Diukes,58.475,19.816,26.104,5,3.609,0,58.475,0
Sniparook,55.856,19.669,28.589,7,3.532,0,55.856,0
kkura_,54.701,16.811,27.671,2,3.734,0,54.701,0
