Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,,
LelPop,21.795,4.169,25.65,0,4.471,21.795,0,0
lilycat,21.429,3.571,28.376,0,4.611,21.429,0,0
Aranha,16.667,2.56,32.655,0,4.714,16.667,0,0
Janoxx,15.909,2.831,26.491,0,4.357,15.909,0,0
eaJ,15.385,3.526,30.002,0,4.167,15.385,0,0
MD22,13.793,1.51,26.308,0,5.375,13.793,0,0
xeyz,11.364,1.883,34.188,0,4.5,11.364,0,0
Oshino_bu,5.682,0.682,30.079,0,5.2,5.682,0,0
PleaseTy,5.556,0.885,29.782,0,4.429,5.556,0,0
Meowstic2121,2.941,0.438,30.854,0,4.667,2.941,0,0
,,,,,,,,
,,,,,,,,
AKl,85.95,31.944,22.464,29,2.856,85.95,0,0
Maki04,49.123,10.042,27.278,1,4.161,49.123,0,0
comete,48.214,13.124,25.639,5,3.63,48.214,0,0
GabrielaRobin,43.82,12.154,25.477,4,3.564,43.82,0,0
oh95,42.593,10.237,28.012,5,4.065,42.593,0,0
OnlyWorldDaiStar,42.105,8.507,26.463,3,4.271,42.105,0,0
Baguett,41.667,9.692,26.561,2,3.956,41.667,0,0
ZephaniJong,40.741,9.313,27.181,3,4.114,40.741,0,0
gro,39.815,12.806,22.51,9,3.349,39.815,0,0
Alkios,37.5,9.293,25.555,3,3.857,37.5,0,0
Chata,31.405,6.316,25.976,0,4.026,31.405,0,0
aimyon,29.63,4.841,28.778,0,4.562,29.63,0,0
SaikiChan,28.704,7.243,27.203,4,4.065,28.704,0,0
ShiinaMahiru,25.843,4.632,28.051,0,4.348,25.843,0,0
lilycat,25.439,4.911,26.7,2,4.483,25.439,0,0
provenance,24.107,5.035,26.769,2,4.296,24.107,0,0
denero,23.148,4.869,29.394,2,4.28,23.148,0,0
Neumann,22.321,5.226,29.224,4,4.16,22.321,0,0
mahzrunner,21.93,4.663,27.611,2,4.28,21.93,0,0
Swapin,17.355,2.68,29.61,0,4.619,17.355,0,0
Kirox,15.73,2.729,30.339,0,4.571,15.73,0,0
MythAndroid,10.744,1.768,27.562,0,4.462,10.744,0,0
AnotherWish,10.185,1.182,30.08,0,5.455,10.185,0,0
yasashiikumo,8.989,1.527,28.124,0,4.375,8.989,0,0
,,,,,,,,
,,,,,,,,
civiltwlight,74.737,22.717,24.918,8,3.465,74.737,0,0
Baikinman,66.304,20.991,23.459,11,3.344,66.304,0,0
comfv,46.067,14.694,23.549,6,3.39,46.067,0,0
Math_,45.161,11.788,25.284,3,3.679,45.161,0,0
FaLiLV,44.231,12.737,24.637,5,3.457,44.231,0,0
Yolowolf75,43.478,10.536,26.206,2,3.95,43.478,0,0
Rissa,37.895,8.883,25.635,2,4.056,37.895,0,0
Anoru_,37.5,9.869,26.158,2,3.641,37.5,0,0
OnlyWorldDaiStar,37.079,9.832,25.867,3,3.879,37.079,0,0
AnimeroD,34,8.207,26.133,2,3.971,34,0,0
Maki04,29.839,5.254,27.834,0,4.324,29.839,0,0
lilycat,29.032,7.595,23.6,5,3.861,29.032,0,0
aimyon,27.368,4.306,29.356,0,4.846,27.368,0,0
SaikiChan,24.719,7.468,24.746,5,3.773,24.719,0,0
Janoxx,23,6.408,23.25,2,3.696,23,0,0
oh95,23,4.665,28.973,1,4.348,23,0,0
THE_USUAL,19.565,3.494,25.562,1,4.667,19.565,0,0
Swapin,19.101,3.571,29.21,0,4.529,19.101,0,0
Poppysr,19,4.598,29.514,1,3.789,19,0,0
Neumann,18.947,2.254,30.183,0,5.333,18.947,0,0
MD22,17.391,2.888,26.993,1,4.75,17.391,0,0
rorf,13.462,2.578,24.935,1,4.429,13.462,0,0
yasashiikumo,11.29,2.194,26.203,1,4.429,11.29,0,0
chommy,2.885,0.648,23.871,0,4,2.885,0,0
,,,,,,,,
0-100 diff,,,,,,,,
