Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
328,tskr,19.395,1.778,0.889,4.933,3.444,1.444,135.222,25,23,4,9
330,_nadeshiko,31.359,4.1,1.8,4.379,7.0,4.7,140.4,26,34,0,10
332,Mangalodon,15.909,1.0,5.0,5.321,2.0,2.0,176.0,3,2,1,1
335,xeyz,17.815,1.333,1.0,4.902,2.667,1.444,117.444,19,29,1,9
336,fiftypercentweeb,23.309,1.4,0.6,5.065,2.6,3.3,145.2,24,33,3,10
338,ranny,14.309,0.9,1.4,5.212,2.1,1.1,151.0,27,29,3,10
343,inta,14.455,1.0,1.3,5.179,2.4,1.8,134.9,30,28,0,10
344,Naizuri,26.011,1.1,0.2,5.005,4.0,3.2,142.3,31,23,4,10
347,Selaph,40.114,2.2,0.9,4.733,5.4,7.3,149.2,30,24,4,10
348,Heleos,21.624,0.7,0.8,5.128,2.9,1.6,129.3,28,28,1,10
349,Porte,18.109,1.0,1.4,5.023,2.2,2.5,132.3,30,28,0,10
353,Solosion,26.509,2.4,0.5,4.632,4.9,3.7,128.2,23,29,4,10
356,Isekaijoucho,20.769,1.0,0.0,4.63,5.0,3.0,130.0,2,3,1,1
357,chommy,16.61,1.2,2.4,4.871,2.7,2.1,140.8,36,21,3,10
358,mangoss,30.405,2.0,1.0,4.844,6.0,4.0,148.0,2,4,0,1
361,Theaddist,29.412,2.0,1.0,4.6,4.0,3.0,136.0,4,2,0,1
364,I_dont_like_loli,10.959,0.0,4.0,6.0,0.0,1.0,146.0,1,4,0,1
365,2G70,24.204,3.5,1.0,4.346,5.0,4.5,157.0,7,4,0,2
366,AitsukiNakuru,26.634,3.667,0.667,4.63,6.0,5.0,158.333,8,9,0,3
367,PotassiumF,18.609,1.667,0.333,4.844,2.0,2.333,135.667,8,10,0,3
368,arpia97,19.886,2.2,1.9,4.68,4.7,2.9,134.0,32,26,1,10
369,florenz,36.813,2.7,0.2,4.668,5.2,7.5,144.5,28,28,2,10
370,Andrey_K,22.708,2.6,0.6,4.578,5.5,3.0,125.1,21,33,2,10
373,harges,31.076,3.3,0.3,4.468,5.6,7.1,130.2,31,26,0,10
376,qwecocacola,17.316,0.667,1.333,5.108,3.0,1.667,134.0,26,26,1,9
378,erzakuran,4.167,0.0,2.0,5.8,0.0,0.0,120.0,2,4,0,1
379,CipherKai,34.566,1.2,0.4,4.904,4.4,3.8,136.1,31,25,1,10
382,Shiku,20.667,0.4,0.8,5.461,2.4,0.8,128.4,26,28,1,10
384,Miki_Hoshii,62.736,14.6,0.1,3.618,18.6,22.1,133.6,26,32,1,10
387,ponbot,28.728,2.6,0.5,4.572,5.4,4.9,137.8,28,29,2,10
388,Tsuni,10.775,0.5,1.625,5.129,1.625,1.75,127.875,24,23,1,8
393,Kyuuuu,13.387,1.3,1.7,4.993,2.3,1.3,128.3,24,32,0,10
394,Komari,25.743,1.0,1.0,4.0,3.0,7.0,101.0,1,4,0,1
395,LordGrond,10.57,0.5,1.0,5.554,1.5,0.6,130.7,28,28,1,10
398,kabao,26.768,1.6,0.5,4.777,3.1,3.2,133.7,27,31,1,10
399,ElJuanchi,14.484,0.1,1.6,5.62,0.8,1.0,132.8,29,25,1,10
400,Vr0003,20.208,1.5,1.2,4.678,3.0,3.6,124.6,30,27,0,10
401,Spartric,21.697,1.0,0.7,5.39,2.2,2.7,131.9,27,27,2,10
403,AnnaYanami,25.975,2.0,0.2,4.822,4.4,3.7,144.0,24,29,2,10
405,anicomi,12.339,0.4,1.0,5.3,1.5,1.2,136.8,29,28,2,10
410,FoopyPoopy,9.772,0.2,3.7,5.94,0.9,1.2,139.5,26,28,3,10
413,zokie,28.888,1.5,0.2,4.905,4.6,3.7,127.3,25,28,3,10
416,OkitaNobu,20.28,0.9,1.3,4.853,3.0,2.9,131.9,28,32,0,10
417,YellowRose,23.181,2.0,1.0,4.842,2.5,1.5,119.5,3,7,0,2
419,keysha18,12.589,0.0,0.333,5.2,1.0,0.333,130.667,12,5,0,3
422,MapleSyyrup,9.938,1.0,0.0,5.25,2.0,1.0,161.0,1,5,0,1
426,brandon_K,4.167,1.0,1.0,4.8,1.0,1.0,120.0,2,3,0,1
430,HaruUrara,31.245,3.5,1.3,4.128,6.7,5.6,125.7,25,27,2,10
431,Luna,12.994,0.4,1.8,5.261,1.6,1.4,125.5,31,26,2,10
437,Loomi,11.258,0.0,3.0,5.059,2.0,1.0,151.0,2,4,0,1
441,Dav1d,14.396,1.1,1.6,4.955,2.3,2.4,132.9,25,29,2,10
443,Loirinzz,11.091,0.5,0.5,5.158,1.0,1.5,99.0,5,5,0,2
452,Kynn,24.332,1.9,1.0,4.793,4.5,3.5,128.9,29,27,1,10
453,RyoutaVN,16.977,0.6,0.6,5.177,2.5,1.4,136.9,29,24,4,10
454,Xandyl,6.504,0.0,2.0,6.0,0.0,1.0,123.0,0,4,1,1
459,SIXSEVEN,12.71,0.5,1.5,5.176,1.0,0.5,135.0,4,7,0,2
462,hakohoka,6.087,0.125,1.375,5.672,1.125,0.375,139.5,20,24,2,8
463,Sabetin,16.419,0.6,1.9,5.245,1.8,1.4,135.0,32,25,0,10
464,Najeem,6.369,2.0,0.0,4.4,2.0,2.0,157.0,2,4,0,1
466,metak,15.763,0.667,1.0,5.255,1.667,2.167,138.167,18,15,1,6
472,Whales6978,10.368,0.333,0.667,5.563,0.667,0.333,109.333,8,10,0,3
474,Nomu,7.578,0.0,2.0,5.75,0.0,0.5,134.5,6,5,1,2
475,medley_n8tes,10.606,0.0,3.0,6.714,0.0,0.0,132.0,4,1,1,1
477,FurLain,16.568,0.0,1.0,5.103,2.333,1.333,120.667,10,7,1,3
480,Tugia,24.127,1.7,0.8,4.823,3.4,3.2,142.7,31,28,1,10
482,25,22.587,0.6,0.4,5.22,2.3,3.1,140.8,21,34,2,10
488,kinjacky,26.386,1.0,0.667,5.271,2.0,1.333,114.667,7,7,1,3
489,zomg,16.823,1.5,1.2,5.146,3.5,1.1,136.5,31,23,3,10
493,chiabobo,4.698,0.0,2.0,5.714,0.0,0.0,149.0,2,4,0,1
494,potatoedtoast,12.057,0.875,1.625,4.892,2.0,2.0,138.0,18,28,2,8
495,AppuruPai,16.115,1.4,0.2,4.84,2.6,1.0,123.8,12,17,1,5
496,lotte_616,7.742,0.0,3.5,5.35,1.5,0.5,129.5,6,6,0,2
497,afwcal,8.824,0.0,2.0,5.5,0.0,2.0,136.0,2,3,0,1
505,MaikaSasaki,28.92,1.5,0.5,5.23,5.0,2.0,139.5,6,5,1,2
508,McAlbertHabolea,4.478,0.0,2.0,5.667,0.0,0.0,134.0,3,3,0,1
510,AkechiAnna,20.349,4.0,0.0,4.743,7.0,6.0,172.0,4,2,0,1
511,nekko_khayal,19.245,0.9,1.2,5.239,2.4,1.7,146.5,19,36,4,10
517,superzinc,3.356,0.0,2.0,5.8,0.0,1.0,149.0,2,4,0,1
518,kombofuud,10.606,2.0,1.0,5.5,2.0,0.0,132.0,4,2,0,1
523,seanpk,16.406,2.0,0.0,4.524,5.0,2.0,128.0,2,4,0,1
