player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR,,
Diukes,42.342,,21.866,2,3.638,61.905,52.083,21.429,48,30,47,111,18,26.98%,,38
GodSaiHugeFan,41.176,,23.596,6,3.959,38.462,36.538,48.78,41,34,49,119,7,19.23%,,100
Fumiii,38,,24.753,0,4.158,23.81,31.373,60.714,32,26,38,100,6,17.65%,,119
Zeal_Kido,34.234,,22.594,2,3.711,47.619,37.5,23.81,37,28,38,111,9,13.51%,,105
Bommie,34,,25.607,0,4.265,28.571,29.412,46.429,35,25,34,100,10,13.85%,,150
Delete,33.673,,19.344,5,3.152,45,33.962,24,24,20,33,98,4,17.57%,,58
sayuu_,33.613,,24.681,4,3.925,23.077,34.615,39.024,22,21,40,119,1,19.59%,,220
zental,30.612,,23.698,4,3.9,20,35.849,28,26,23,30,98,3,9.72%,,156
UselessPanda,28.44,,23.881,1,4.323,20,22.414,45.161,13,12,31,109,1,19.79%,,1
legrandort,25.51,,24.842,4,4.04,20,30.189,20,18,17,25,98,1,10.00%,,159
Zozo,25.225,,22.896,2,3.393,23.81,20.833,30.952,28,21,28,111,7,8.43%,,149
MinoriChihara,24,,26.648,0,4.417,33.333,23.529,17.857,29,21,24,100,8,4.23%,,173
IAmAsianNoob,20.721,,26.72,1,4.174,4.762,20.833,28.571,19,16,23,111,3,7.61%,,164
Skychael,19.328,,23.049,5,3.391,30.769,19.231,12.195,20,18,23,119,2,5.05%,,160
psirockin,17.431,,24.696,2,3.842,10,17.241,22.581,27,16,19,109,11,3.66%,,180
,,,,,,,,,,,,,,,,
2023-12-21,,,,,,,,,,,,,,,,#N/A
Keiko,71.429,,22.354,7,3.656,50,69.231,82.222,58,48,90,126,10,61.76%,,11
Hejsan,66.165,,21.777,5,3.67,70.833,69.355,59.574,59,51,88,133,8,50.00%,,8
yahallonyanpasu,52.308,,20.979,10,3.485,83.333,58.333,34.615,36,30,68,130,6,40.43%,,16
uomi,50.505,,22.691,5,3.86,27.778,51.064,61.765,28,27,50,99,1,32.39%,,104
GodSaiHugeFan,46.154,,24.244,3,4.333,38.889,40,55.769,57,50,60,130,7,13.70%,,100
Emdiel,45,,23.374,3,3.87,64.706,41.818,41.667,48,38,54,120,10,22.22%,,88
mkby,43.434,,26.686,0,4.674,38.889,46.809,41.176,24,23,43,99,1,26.67%,,43
KANTAICOLLECTION,43.137,,23.472,3,3.591,35,45.652,44.444,33,24,44,102,9,28.99%,,45
Fumiii,42.857,,24.449,3,4.204,25,49.231,40,49,44,54,126,5,12.99%,,119
wincover,38.346,,23.014,1,4.549,33.333,46.774,29.787,38,29,51,133,9,23.16%,,74
SPYAIR,36.275,,23.802,0,3.973,50,32.609,33.333,15,12,37,102,3,28.74%,,83
Aryssiel,35,,25.617,3,4.262,41.176,36.364,31.25,18,18,42,120,0,23.53%,,86
Ephemeral,33.333,,26.522,2,4.788,22.222,31.915,41.176,21,19,33,99,2,17.95%,,109
mahzrunner,33.333,,25.08,4,4.125,35.294,32.727,33.333,28,28,40,120,0,13.04%,,143
SaikiChan,31.579,,21.583,2,4.238,33.333,30.645,31.915,29,28,42,133,1,13.46%,,115
oh95,30.952,,26.265,0,4.667,37.5,30.769,28.889,33,24,39,126,9,16.13%,,177
zental,30.392,,22.31,4,3.71,45,21.739,33.333,27,26,31,102,1,6.67%,,156
Wuffles,28.462,,27.139,0,4.973,27.778,25,32.692,30,24,37,130,6,13.00%,,202
Bommie,27.82,,24.724,0,5.108,25,22.581,36.17,37,30,37,133,7,7.29%,,150
legrandort,22.5,,26.036,0,4.741,17.647,21.818,25,22,21,27,120,1,6.12%,,159
IAmAsianNoob,22.308,,24.456,0,5.103,5.556,16.667,34.615,23,22,29,130,1,6.54%,,164
Skychael,22.222,,24.121,3,4.182,22.222,25.532,17.647,22,19,22,99,3,3.90%,,160
CM02,21.429,,25.577,1,4.963,6.25,21.538,26.667,29,24,27,126,5,3.09%,,157
psirockin,14.706,,23.844,1,4.467,10,13.043,19.444,26,12,15,102,14,3.95%,,180
,,,,,,,,,,,,,,,,
2023-12-22,,,,,,,,,,,,,,,,#N/A
Hejsan,59.615,,21.861,6,3.468,85,47.5,59.091,30,25,62,104,5,50.00%,,8
kar72,59.167,,22.887,1,3.761,58.824,62.264,56,39,31,71,120,8,49.38%,,20
FORTNAYT,58.772,,22.656,7,3.537,66.667,72.549,38.095,34,33,67,114,1,42.50%,,28
MonkeyGangLeader,52.5,,22.366,4,3.635,64.706,50.943,50,96,52,63,120,44,45.83%,,48
FUCK_AMQ,51.111,,22.712,4,3.783,54.167,62.745,40,35,28,69,135,7,41.00%,,40
Lika,46.512,,23.553,1,4.225,45.455,44.186,50,29,25,40,86,4,26.32%,,58
Diukes,43.704,,22.278,3,3.847,45.833,62.745,26.667,60,39,59,135,21,26.67%,,38
DKing20,43.023,,24.744,2,4.081,81.818,37.209,37.5,17,17,37,86,0,28.99%,,67
oh95,42.969,,24.76,4,4.455,50,43.548,39.583,44,39,55,128,5,19.05%,,177
yahallonyanpasu,42.342,,20.707,7,3.255,70,44.681,27.273,24,19,47,111,5,32.18%,,16
mahzrunner,39.535,,24.4,6,4,54.545,30.233,46.875,25,21,34,86,4,21.31%,,143
GodSaiHugeFan,38.739,,23.748,5,3.465,30,23.404,59.091,38,30,43,111,8,17.81%,,100
wincover,38.596,,22.082,3,3.659,38.095,52.941,21.429,38,28,44,114,10,21.05%,,74
comfv,38.462,,23.15,1,4.05,85,30,25,23,17,40,104,6,28.40%,,76
Mako_Hitachi,38.281,,24.237,4,4.612,27.778,35.484,45.833,39,34,49,128,5,16.85%,,144
Maki04,34.615,,23.415,2,3.833,60,30,27.273,30,27,36,104,3,12.16%,,113
Sheru,34.211,,21.755,2,3.641,38.095,37.255,28.571,38,33,39,114,5,7.89%,,145
SaikiChan,33.333,,22.258,3,4.044,33.333,19.608,45,23,23,45,135,0,19.64%,,115
Bommie,28.906,,24.832,0,5.216,5.556,27.419,39.583,46,33,37,128,13,4.88%,,150
zental,28.829,,23.79,2,3.875,20,27.66,34.091,24,23,32,111,1,10.34%,,156
UselessPanda,27.5,,24.155,1,4.091,11.765,22.642,38,18,16,33,120,2,16.67%,,1
IAmAsianNoob,24.444,,24.931,0,4.394,8.333,9.804,43.333,19,18,33,135,1,12.93%,,164
CM02,17.5,,23.936,0,5.238,29.412,9.434,22,25,18,21,120,7,3.16%,,157
legrandort,17.442,,22.706,2,4.533,9.091,16.279,21.875,11,11,15,86,0,5.33%,,159
psirockin,14.423,,23.298,0,4.2,20,12.5,13.636,26,13,15,104,13,2.56%,,180
JustaWeirdo,13.158,,23.92,0,4.733,9.524,15.686,11.905,17,13,15,114,4,2.06%,,171
Slizzer,12.613,,26.013,1,3.786,10,19.149,6.818,28,13,14,111,15,1.20%,,161
,,,,,,,,,,,,,,,,
2023-12-24,,,,,,,,,,,,,,,,#N/A
watashiii,60,,25.969,4,4.136,56.522,61.702,60,44,40,66,110,4,39.39%,,129
