Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
148.0,uy5gf,83.55,0.311,0.267,0.125,0.963,0.497,0.206,0.079,6.0,10.0,0.0,0.228,0.112,0.23,0.836,0.259,0.8,0.842,0.0,0.686,3,6.0,10.0,0.0,83.55
149.0,Zozo,112.36,0.443,0.458,0.234,1.0,0.585,0.393,0.217,13.0,8.0,0.0,0.349,0.272,0.244,0.94,0.278,0.975,0.921,0.3,0.632,4,13.0,8.0,0.0,112.36
150.0,Bommie,96.5,0.37,0.411,0.112,0.967,0.487,0.219,0.129,27.0,32.0,0.0,0.479,0.108,0.365,0.865,0.228,0.88,0.9,0.02,0.553,10,25.0,28.0,0.0,96.5
155.0,Unborned,78.63,0.289,0.239,0.098,0.857,0.482,0.156,0.083,18.0,19.0,1.0,0.301,0.098,0.269,0.845,0.278,0.757,0.947,0.029,0.578,7,18.0,19.0,1.0,78.63
156.0,Zental,125.06,0.5,0.518,0.333,1.0,0.557,0.571,0.281,8.0,8.0,1.0,0.553,0.279,0.352,0.967,0.426,0.933,0.965,0.0,0.625,3,8.0,8.0,1.0,125.06
157.0,CM02,84.13,0.314,0.304,0.116,0.937,0.495,0.204,0.098,19.0,16.0,1.0,0.329,0.107,0.23,0.944,0.151,0.957,0.97,0.0,0.558,7,19.0,16.0,1.0,84.13
159.0,legrandort,96.2,0.369,0.378,0.162,0.956,0.506,0.229,0.158,11.0,15.0,0.0,0.384,0.2,0.237,0.992,0.278,0.94,1.0,0.04,0.555,5,11.0,15.0,0.0,96.2
160.0,Skychael,105.55,0.412,0.363,0.238,0.922,0.563,0.376,0.197,60.0,50.0,3.0,0.409,0.17,0.288,0.927,0.506,0.85,0.916,0.04,0.668,10,29.0,26.0,1.0,105.55
164.0,IAmAsianNoob,74.97,0.272,0.27,0.012,0.9,0.45,0.095,0.087,31.0,30.0,0.0,0.239,0.142,0.175,0.945,0.122,0.95,0.953,0.0,0.545,10,27.0,24.0,0.0,74.97
168.0,Lightning,95.23,0.364,0.361,0.138,0.967,0.489,0.229,0.137,29.0,40.0,2.0,0.426,0.154,0.304,0.917,0.35,0.88,0.916,0.04,0.573,10,22.0,32.0,2.0,95.23
170.0,hubcioskubcio,68.61,0.243,0.181,0.038,0.878,0.48,0.095,0.05,36.0,29.0,4.0,0.255,0.026,0.184,0.946,0.2,0.97,0.974,0.0,0.539,10,27.0,23.0,3.0,68.61
171.0,JustAWeirdo,82.99,0.309,0.272,0.125,0.967,0.485,0.229,0.055,103.0,108.0,4.0,0.272,0.134,0.186,0.962,0.25,0.94,0.968,0.02,0.56,10,21.0,33.0,2.0,82.99
